iter	Logloss
0	0.6872442438
1	0.6812068639
2	0.6756392061
3	0.67117301
4	0.6668026956
5	0.6628155226
6	0.6580102899
7	0.6535257918
8	0.6484293563
9	0.6433907841
10	0.6402717333
11	0.6363055626
12	0.6317037518
13	0.6272426991
14	0.6224471532
15	0.618444507
16	0.6140714067
17	0.6107194879
18	0.6072855746
19	0.6043546012
20	0.600620827
21	0.5969407157
22	0.5937195681
23	0.5903976098
24	0.5869801982
25	0.5830924216
26	0.5790915757
27	0.575876386
28	0.5726636394
29	0.5694852679
30	0.5660610413
31	0.5632009613
32	0.5602069812
33	0.5574985461
34	0.5543644937
35	0.5521134794
36	0.5504609869
37	0.5482398901
38	0.5462394886
39	0.5433257457
40	0.5406769313
41	0.5382229666
42	0.5355525928
43	0.5325561695
44	0.5312746455
45	0.5298165311
46	0.5270077995
47	0.5243465981
48	0.5229136435
49	0.5205634042
50	0.5185929631
51	0.5167620798
52	0.5142493516
53	0.5117135209
54	0.5095962353
55	0.5072642551
56	0.5053196596
57	0.5043505551
58	0.5019616116
59	0.5009055834
60	0.499797521
61	0.4978040202
62	0.4969298545
63	0.4951276886
64	0.4931786355
65	0.4911869349
66	0.4895376141
67	0.4877680232
68	0.485957585
69	0.4843461112
70	0.4824720661
71	0.4813316431
72	0.4796604199
73	0.478251125
74	0.4765427836
75	0.4754411505
76	0.474174671
77	0.4731489032
78	0.472161068
79	0.4709077471
80	0.4696728138
81	0.4681867107
82	0.466844623
83	0.4655306527
84	0.4646242549
85	0.4633131992
86	0.4622130662
87	0.4610588845
88	0.4604450612
89	0.4592705202
90	0.4583497637
91	0.4569760869
92	0.4565140799
93	0.4557024495
94	0.4552587016
95	0.4540955619
96	0.452880345
97	0.4522489912
98	0.4518404328
99	0.4505829543
100	0.4494027127
101	0.4484925431
102	0.4474152126
103	0.4462657028
104	0.4449862362
105	0.4438900894
106	0.4428818949
107	0.4420227737
108	0.4410312095
109	0.4401497144
110	0.4395829962
111	0.4386009473
112	0.4376680181
113	0.4369747719
114	0.4362334348
115	0.4353468391
116	0.4346910112
117	0.4336622431
118	0.4326755652
119	0.4318308884
120	0.4313671669
121	0.4305740528
